P      1  2212  0.000000E+00  0.000000E+00  0.650000E+04  0.650000E+04  0.938300E+00 2 0 0    -1 0
P      2  2212  0.000000E+00  0.000000E+00 -0.650000E+04  0.650000E+04  0.938300E+00 2 0 0    -1 0
P      3  2112 -0.582467E+00 -0.413768E+00  0.470216E+04  0.470216E+04  0.939570E+00 1 0 0     0 0
P      4 -2212  0.969280E-01 -0.156735E-01  0.575095E+01  0.582781E+01  0.938270E+00 1 0 0     0 0
P      5   211 -0.144220E+00 -0.363447E+00  0.121060E+01  0.127982E+01  0.139570E+00 1 0 0     0 0
P      6  2112  0.779418E+00 -0.486178E+00  0.177827E+02  0.178312E+02  0.939570E+00 1 0 0     0 0
P      7   211  0.166963E+01 -0.341433E+01  0.144999E+02  0.149904E+02  0.139570E+00 1 0 0     0 0
P      8 -2212  0.265663E+01 -0.383017E+01  0.205475E+02  0.210904E+02  0.938270E+00 1 0 0     0 0
P      9  -211  0.453529E+01 -0.690650E+01  0.317842E+02  0.328409E+02  0.139570E+00 1 0 0     0 0
P     10  -211  0.110767E+01 -0.193359E+01  0.982400E+01  0.100745E+02  0.139570E+00 1 0 0     0 0
P     11   211  0.328209E+01 -0.412233E+01  0.148241E+02  0.157334E+02  0.139570E+00 1 0 0     0 0
P     12  -321  0.227239E+01 -0.257640E+01  0.111434E+02  0.116714E+02  0.493600E+00 1 0 0     0 0
P     13 -2212  0.783235E+01 -0.862064E+01  0.356041E+02  0.374726E+02  0.938270E+00 1 0 0     0 0
P     14  2212  0.110443E+02 -0.104235E+02  0.467538E+02  0.491673E+02  0.938270E+00 1 0 0     0 0
P     15   111  0.852375E+01 -0.910513E+01  0.372295E+02  0.392634E+02  0.134980E+00 1 0 0     0 0
P     16 -2112  0.111879E+01  0.754892E+00  0.360514E+01  0.396250E+01  0.939570E+00 1 0 0     0 0
P     17  2212  0.432363E+00  0.426836E+00  0.208931E+01  0.236954E+01  0.938270E+00 1 0 0     0 0
P     18   211  0.300897E+00  0.169575E+00  0.746810E-01  0.379936E+00  0.139570E+00 1 0 0     0 0
P     19   321  0.105526E+00 -0.147310E-01  0.222388E+00  0.551770E+00  0.493600E+00 1 0 0     0 0
P     20   111  0.155057E+00  0.288785E+00 -0.103051E+01  0.108977E+01  0.134980E+00 1 0 0     0 0
P     21 -2212 -0.842413E+00 -0.108807E+01 -0.593114E+01  0.616055E+01  0.938270E+00 1 0 0     0 0
P     22 -2212  0.366838E+00 -0.617799E+00 -0.447405E+01  0.462749E+01  0.938270E+00 1 0 0     0 0
P     23  2112 -0.756062E+00 -0.104610E+01 -0.695184E+01  0.713280E+01  0.939570E+00 1 0 0     0 0
